schemaVersion,recordType,source_name,source_url,collectedAt,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05895v1,2026-09-10T06:51:29.528965+00:00,A First-Order Learning Algorithm for Online Resource Allocation with Constant Regret,Menglong Li; Jiawei Zhang,https://arxiv.org/abs/2609.05895v1,,0,2026-09-05T05:30:29Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05894v1,2026-09-10T06:51:29.533244+00:00,The End of AI Exponentiation: Fluttering Inside and Outside AI Bubble,Victor Kebande,https://arxiv.org/abs/2609.05894v1,,0,2026-09-05T05:29:30Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05889v1,2026-09-10T06:51:29.536317+00:00,Multimodal Resource-Exhaustion Attacks on Vision-Language Models via Joint Pixel-Prompt Optimization,Zhaoxiong Ni; Yatie Xiao; Chi-Man Pun; Fei Peng; Qingxiao Guan; Keke Tang,https://arxiv.org/abs/2609.05889v1,,0,2026-09-05T05:20:53Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05888v1,2026-09-10T06:51:29.539129+00:00,UniFusion: Sparse-View 4D Reconstruction via Unified Spatio-temporal Depth Alignment,Yongzhe Lyu; Shaofei Wang; Yixin Chen; Siyuan Huang,https://arxiv.org/abs/2609.05888v1,,0,2026-09-05T05:19:00Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05885v1,2026-09-10T06:51:29.542111+00:00,One Rate Is Not Enough: Adaptive Anisotropic Learning Rates for LoRA Fine-Tuning,Huiyi Wang; Daijiao Liu; Lina Yao; Dong Gong,https://arxiv.org/abs/2609.05885v1,,0,2026-09-05T05:14:04Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05884v1,2026-09-10T06:51:29.544457+00:00,CALM: Class-wise Agreement and Label-gated Disagreement Modulation for Decentralized Federated Learning,Yifan Ying; Qing Tian,https://arxiv.org/abs/2609.05884v1,,0,2026-09-05T05:13:07Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06147v1,2026-09-10T06:51:29.626400+00:00,What the Window Does Not Contain: Auditing Provenance in a Document-Grounded Instability Benchmark,Seyed Mosayeb Alam,https://arxiv.org/abs/2609.06147v1,https://github.com/eikiyo/FoFinNLP,0,2026-09-05T15:43:05Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04627v1,2026-09-10T06:51:29.727854+00:00,Leveraging Imperfect Restoration for Data Availability Attack,Yi Huang; Jeremy Styborski; Mingzhi Lyu; Fan Wang; Adams Kong,https://arxiv.org/abs/2609.04627v1,https://github.com/lyumingzhi/IRP,1,2026-09-04T02:00:55Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04611v1,2026-09-10T06:51:29.732913+00:00,"$τ^τ$-Bench: An Environment for End-To-End, Realistic Agent Construction",Quan Shi; Keshav Dhandhania; Karthik Narasimhan; Victor Barres,https://arxiv.org/abs/2609.04611v1,,0,2026-09-04T01:23:47Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04603v1,2026-09-10T06:51:29.735935+00:00,An Evaluation Framework for Generating Multi-View Images of a Person in a Scene,Mahir Majid; Young Kyung Kim; Guillermo Sapiro,https://arxiv.org/abs/2609.04603v1,,0,2026-09-04T01:02:12Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04598v1,2026-09-10T06:51:29.738596+00:00,PetQA: Benchmarking Veterinary Knowledge and Clinical Reasoning,Taegyun Kim; Youngwook Ham; Jungwook Rhim; Ju-Hyun An; Sungkyu Park; Kunwoo Park,https://arxiv.org/abs/2609.04598v1,,0,2026-09-04T00:54:04Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04593v2,2026-09-10T06:51:29.741583+00:00,GNN-Guided Graph Coarsening and Adaptive QUBO Penalties for the Capacitated Vehicle Routing Problem with Time Windows on a Quantum Annealer,Youssef Kamel Rezk; Paweł Gora,https://arxiv.org/abs/2609.04593v2,,0,2026-09-04T00:49:57Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04592v1,2026-09-10T06:51:29.743979+00:00,Hidden In Plain Gaze: Gaze Representations as Privacy Controls for Utility and Re-identification Risk in XR,Cory Ilo; Brendan-David John; Doug A. Bowman,https://arxiv.org/abs/2609.04592v1,,0,2026-09-04T00:47:22Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04590v1,2026-09-10T06:51:29.746446+00:00,Dual-Part Multi-Lateral Branched Network for Multi-Class Segmentation in Cardiovascular Catheterization Angiograms,Olatunji Omisore; Ahmed Elazab; Ali Shahidinejad; Fariza Sabrina,https://arxiv.org/abs/2609.04590v1,,0,2026-09-04T00:41:51Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06546v1,2026-09-10T06:51:30.008589+00:00,Introductory Notes on Learning$^2$,Sai Siddharth; Maniarasu Ravi,https://arxiv.org/abs/2609.06546v1,https://github.com/EuLaNet/EuLaNet,2,2026-09-06T11:36:02Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06545v1,2026-09-10T06:51:30.015806+00:00,"LLMs Mirror Country-Specific Gender Patterns If Asked, but Skew Male When Generating Media in Local Languages",Sharif Kazemi; Tanya Popli; Neil K. R. Sehgal; Sunny Rai; Niyati Malhotra; Victor Orozco-Olvera; Ana María Muñoz Boudet; Samuel P. Fraiberger; Sharath Chandra Guntuku; Manuel Tonneau,https://arxiv.org/abs/2609.06545v1,,0,2026-09-06T11:34:41Z
