schemaVersion,recordType,source_name,source_url,collectedAt,entityName,employeeCount
1.0,STARTUP,Wikidata,https://group.mercedes-benz.com/karriere/ueber-uns/standorte/standort-detailseite-18160.html,2026-09-10T04:43:56.819007+00:00,Mercedes-Benz Mobility Services,
1.0,STARTUP,Wikidata,https://gyldendal.dk,2026-09-10T04:43:56.820870+00:00,Gyldendal,350
1.0,STARTUP,Wikidata,https://www.microsoft.com/,2026-09-10T04:43:56.823066+00:00,Microsoft,228000
1.0,STARTUP,Wikidata,http://info.avtovaz.ru/,2026-09-10T04:43:56.825151+00:00,AvtoVAZ,
1.0,STARTUP,Wikidata,https://airbus.com,2026-09-10T04:43:56.826981+00:00,Airbus,156921
1.0,STARTUP,Wikidata,http://www.homeinstead.com/,2026-09-10T04:43:56.828608+00:00,Home Instead Senior Care,
1.0,STARTUP,Wikidata,https://homeinstead.de/,2026-09-10T04:43:56.830303+00:00,Home Instead Senior Care,
1.0,STARTUP,Wikidata,https://www.sako.global/,2026-09-10T04:43:56.832441+00:00,SAKO,
1.0,STARTUP,Wikidata,https://www.piraeusbank.gr/,2026-09-10T04:43:56.834546+00:00,Piraeus Bank,
1.0,STARTUP,Wikidata,https://www.amazon.com/,2026-09-10T04:43:56.836407+00:00,Amazon,1500000
1.0,STARTUP,Wikidata,https://www.adidas.com/,2026-09-10T04:43:56.838147+00:00,Adidas AG,59030
1.0,STARTUP,Wikidata,https://www.facit.se/,2026-09-10T04:43:56.840390+00:00,Facit catalog,
1.0,STARTUP,Wikidata,https://www.couchsurfing.com,2026-09-10T04:43:56.842938+00:00,CouchSurfing,
1.0,STARTUP,Wikidata,http://ursus.ro/,2026-09-10T04:43:56.844836+00:00,Ursus Breweries,
1.0,STARTUP,Wikidata,http://www.sabmiller.com/,2026-09-10T04:43:56.846566+00:00,SABMiller,70000
1.0,STARTUP,Wikidata,https://yandex.com,2026-09-10T04:43:56.848788+00:00,Yandex,26700
1.0,STARTUP,Wikidata,https://www.hochbahn.de/hochbahn/hamburg/de/,2026-09-10T04:43:56.850865+00:00,Hamburger Hochbahn AG,5300
1.0,STARTUP,Wikidata,http://www.dresdner-porzellan.com/,2026-09-10T04:43:56.852822+00:00,Dresden Porcelain,20
1.0,STARTUP,Wikidata,https://thewaltdisneycompany.com/,2026-09-10T04:43:56.854726+00:00,The Walt Disney Company,201000
1.0,STARTUP,Wikidata,https://www.disney.com/,2026-09-10T04:43:56.856936+00:00,The Walt Disney Company,201000
1.0,STARTUP,Wikidata,https://oaklandish.com/,2026-09-10T04:43:56.859032+00:00,Oaklandish,
1.0,STARTUP,Wikidata,http://www.dna.fi/,2026-09-10T04:43:56.860799+00:00,DNA,1427
1.0,STARTUP,Wikidata,https://www.airbnb.com/,2026-09-10T04:43:57.986314+00:00,Airbnb,5597
1.0,STARTUP,Wikidata,https://www.footlocker-inc.com,2026-09-10T04:43:57.992523+00:00,Foot Locker,
1.0,STARTUP,Wikidata,https://www.westermo.com,2026-09-10T04:43:57.996822+00:00,Westermo,
1.0,STARTUP,Wikidata,http://www.baseballprospectus.com/,2026-09-10T04:43:58.001142+00:00,Baseball Prospectus,
1.0,STARTUP,Wikidata,https://www.hasselblad.com/,2026-09-10T04:43:58.004296+00:00,Hasselblad,200
1.0,STARTUP,Wikidata,http://www.xmos.com,2026-09-10T04:43:58.007223+00:00,XMOS,
1.0,STARTUP,Wikidata,http://www.plansee-group.com/,2026-09-10T04:43:58.010033+00:00,Plansee Group,
1.0,STARTUP,Wikidata,https://www.gallup.com/,2026-09-10T04:43:58.012302+00:00,Gallup,
1.0,STARTUP,Wikidata,http://www.aksteel.com/,2026-09-10T04:43:58.014317+00:00,AK Steel Holding,
1.0,STARTUP,Wikidata,http://www.ussteel.com,2026-09-10T04:43:58.016696+00:00,U.S. Steel,85000
1.0,STARTUP,Wikidata,http://www.wwe.com/shows/ecw,2026-09-10T04:43:58.019192+00:00,Extreme Championship Wrestling,
1.0,STARTUP,Wikidata,http://www.schwinnbikes.com,2026-09-10T04:43:58.021331+00:00,Schwinn Bicycle Company,
1.0,STARTUP,Wikidata,http://www.symrise.com/,2026-09-10T04:43:58.023431+00:00,Symrise,
1.0,STARTUP,Wikidata,http://www.stiebel-eltron.de/,2026-09-10T04:43:58.025621+00:00,Stiebel Eltron,2825
1.0,STARTUP,Wikidata,https://www.stiebel-eltron.fr/,2026-09-10T04:43:58.027597+00:00,Stiebel Eltron,2825
1.0,STARTUP,Wikidata,http://www.kaplaninternational.com/,2026-09-10T04:43:58.029394+00:00,Kaplan International Languages,
1.0,STARTUP,Wikidata,https://www.bsse.sk,2026-09-10T04:43:58.031266+00:00,Bratislava Stock Exchange,
1.0,STARTUP,Wikidata,https://www.grassvalley.jp/,2026-09-10T04:43:58.033577+00:00,Grass Valley K.K.,
1.0,STARTUP,Wikidata,https://www.nordsee.com/,2026-09-10T04:43:58.035847+00:00,Nordsee,6000
1.0,STARTUP,Wikidata,http://en.tnuva.co.il/,2026-09-10T04:43:58.037718+00:00,Tnuva,6630
1.0,STARTUP,Wikidata,https://www.tnuva.co.il/,2026-09-10T04:43:58.039525+00:00,Tnuva,6630
1.0,STARTUP,Wikidata,http://www.foxsports.com,2026-09-10T04:43:58.041723+00:00,Fox Sports,
1.0,STARTUP,Wikidata,https://www.hbc.com,2026-09-10T04:43:58.043616+00:00,Hudson's Bay Company,70000
1.0,STARTUP,Wikidata,https://kingsbay.no,2026-09-10T04:43:58.045385+00:00,Kings Bay,41
1.0,STARTUP,Wikidata,http://1c.ru,2026-09-10T04:43:58.047042+00:00,1C Company,1100
1.0,STARTUP,Wikidata,http://www.lfbank.ly/,2026-09-10T04:43:58.049044+00:00,Libyan Foreign Bank,
1.0,STARTUP,Wikidata,https://amtcoffee.co.uk/,2026-09-10T04:43:58.051232+00:00,AMT Coffee,
1.0,STARTUP,Wikidata,http://www.fptindustrial.com/,2026-09-10T04:43:58.053171+00:00,FPT,
1.0,STARTUP,Wikidata,http://www.atfbank.kz/,2026-09-10T04:43:58.055007+00:00,ATFBank,
1.0,STARTUP,Wikidata,http://www.etimaden.gov.tr,2026-09-10T04:43:58.056814+00:00,Ab Etiproducts Oy,
1.0,STARTUP,Wikidata,https://www.airgas.com/,2026-09-10T04:43:58.058891+00:00,Airgas,17000
1.0,STARTUP,Wikidata,https://www.dnb.no/,2026-09-10T04:43:58.060811+00:00,DNB Bank,9020
1.0,STARTUP,Wikidata,https://www.hp.com/,2026-09-10T04:43:58.062558+00:00,Hewlett-Packard,48000
1.0,STARTUP,Wikidata,http://www.excaliburalmaz.com/,2026-09-10T04:43:58.064358+00:00,Excalibur Almaz,
1.0,STARTUP,Wikidata,http://www.ipzs.it/,2026-09-10T04:43:58.066540+00:00,Istituto Poligrafico e Zecca dello Stato,1833
1.0,STARTUP,Wikidata,https://www.siemens.com/,2026-09-10T04:43:58.068684+00:00,Siemens,320000
1.0,STARTUP,Wikidata,http://www.cambior.com/,2026-09-10T04:43:58.070505+00:00,Cambior,
1.0,STARTUP,Wikidata,http://www.barum-online.com/,2026-09-10T04:43:58.072200+00:00,Continental Barum,4289
1.0,STARTUP,Wikidata,http://www.danskebank.no/,2026-09-10T04:43:58.074284+00:00,Fokus Bank,
1.0,STARTUP,Wikidata,https://www.gm.com/,2026-09-10T04:43:58.076692+00:00,General Motors,164000
1.0,STARTUP,Wikidata,https://arauco.com/europe/?r=1,2026-09-10T04:43:58.078984+00:00,Arauco,
1.0,STARTUP,Wikidata,https://www.pure.com/,2026-09-10T04:43:58.081079+00:00,Pure,
1.0,STARTUP,Wikidata,http://aquaticabyseaworld.com/en/orlando/,2026-09-10T04:43:58.083107+00:00,Aquatica,
1.0,STARTUP,Wikidata,https://stenasessan.se,2026-09-10T04:43:58.085406+00:00,Stena Sphere,
1.0,STARTUP,Wikidata,https://pulawy.grupaazoty.com/en/,2026-09-10T04:43:58.087311+00:00,Zakłady Azotowe Puławy,
1.0,STARTUP,Wikidata,http://www.alkaloid.com.mk,2026-09-10T04:43:58.089164+00:00,Alkaloid,1105
1.0,STARTUP,Wikidata,http://www.aenetworks.com,2026-09-10T04:43:58.091182+00:00,A+E Global Media,
1.0,STARTUP,Wikidata,https://www.desigual.com/,2026-09-10T04:43:58.093130+00:00,Desigual,2700
1.0,STARTUP,Wikidata,https://konzern.oebb.at/,2026-09-10T04:43:58.094989+00:00,Austrian Federal Railways,40265
1.0,STARTUP,Wikidata,https://www.oebb.at/,2026-09-10T04:43:58.096787+00:00,Austrian Federal Railways,40265
1.0,STARTUP,Wikidata,https://www.fsitaliane.it/,2026-09-10T04:43:58.098689+00:00,Ferrovie dello Stato Italiane,
1.0,STARTUP,Wikidata,https://fsnews.it/,2026-09-10T04:43:58.100873+00:00,Ferrovie dello Stato Italiane,
1.0,STARTUP,Wikidata,http://www.dsb.dk,2026-09-10T04:43:58.102868+00:00,DSB,6866
1.0,STARTUP,Wikidata,https://www.vy.no,2026-09-10T04:43:58.104557+00:00,Vy,11484
1.0,STARTUP,Wikidata,https://www.lindenlab.com/,2026-09-10T04:43:58.110158+00:00,Linden Lab,
1.0,STARTUP,Wikidata,http://www.stowa.com/,2026-09-10T04:43:58.112282+00:00,Stowa,
1.0,STARTUP,Wikidata,http://arbitration.kiev.ua,2026-09-10T04:43:58.114173+00:00,Ukrainian Arbitration Association,
1.0,STARTUP,Wikidata,https://www.asrock.com/,2026-09-10T04:43:58.116272+00:00,ASRock,190
1.0,STARTUP,Wikidata,https://www.bharti.com/,2026-09-10T04:43:58.118297+00:00,Bharti Enterprises,
1.0,STARTUP,Wikidata,https://www.barqs.com/,2026-09-10T04:43:58.120246+00:00,Barq's,
1.0,STARTUP,Wikidata,http://www.eckes-granini.com,2026-09-10T04:43:58.122022+00:00,Eckes AG,
1.0,STARTUP,Wikidata,http://www.deltalloyd.com,2026-09-10T04:43:58.123962+00:00,Delta Lloyd Group,
1.0,STARTUP,Wikidata,http://www.arcandor.com/,2026-09-10T04:43:58.125894+00:00,Arcandor,
1.0,STARTUP,Wikidata,https://www.zg-raiffeisen.de,2026-09-10T04:43:58.127641+00:00,ZG Raiffeisen,
1.0,STARTUP,Wikidata,http://www.analytik-jena.de/,2026-09-10T04:43:58.129389+00:00,Analytik Jena,
1.0,STARTUP,Wikidata,http://www.zkw-group.com/,2026-09-10T04:43:58.131126+00:00,ZKW,
1.0,STARTUP,Wikidata,http://cph-group.com/,2026-09-10T04:43:58.133325+00:00,Cph Deutschland,
1.0,STARTUP,Wikidata,https://www.nos.pt/,2026-09-10T04:43:58.135283+00:00,NOS,1909
1.0,STARTUP,Wikidata,https://www.zte.com.cn/,2026-09-10T04:43:58.137091+00:00,ZTE,69093
1.0,STARTUP,Wikidata,https://www.mango.com/,2026-09-10T04:43:58.139032+00:00,Mango,16000
1.0,STARTUP,Wikidata,https://www.hochtief.com/,2026-09-10T04:43:58.140998+00:00,Hochtief,41575
1.0,STARTUP,Wikidata,https://www.hochtief.de/,2026-09-10T04:43:58.142903+00:00,Hochtief,41575
1.0,STARTUP,Wikidata,https://www.mothercareplc.com,2026-09-10T04:43:58.144607+00:00,Mothercare,
1.0,STARTUP,Wikidata,https://www.medion.com/,2026-09-10T04:43:58.146342+00:00,Medion,1007
1.0,STARTUP,Wikidata,http://www.ilfc.com,2026-09-10T04:43:58.148109+00:00,International Lease Finance Corporation,170
1.0,STARTUP,Wikidata,https://www.primark.com/en-gb,2026-09-10T04:43:58.150557+00:00,Primark,78000
1.0,STARTUP,Wikidata,http://www.funke-mediengruppe.de,2026-09-10T04:43:58.152690+00:00,Funke Mediengruppe,
1.0,STARTUP,Wikidata,https://www.sumitomo-chem.co.jp/,2026-09-10T04:43:58.154511+00:00,Sumitomo Chemical,30745
1.0,STARTUP,Wikidata,http://www.worldsurfleague.com/,2026-09-10T04:43:58.156406+00:00,World Surf League,
1.0,STARTUP,Wikidata,https://www.thyssenkrupp.com/,2026-09-10T04:43:58.158353+00:00,thyssenkrupp AG,98120
1.0,STARTUP,Wikidata,https://www.baume-et-mercier.com,2026-09-10T04:43:58.160351+00:00,Baume et Mercier,
1.0,STARTUP,Wikidata,https://www.rwe.com/en/,2026-09-10T04:43:58.162153+00:00,RWE,18246
1.0,STARTUP,Wikidata,https://www.rwe.com/,2026-09-10T04:43:58.163885+00:00,RWE,18246
1.0,STARTUP,Wikidata,http://www.schoeps.de,2026-09-10T04:43:58.166342+00:00,Schoeps,
1.0,STARTUP,Wikidata,http://www.qbe.com/,2026-09-10T04:43:58.168418+00:00,QBE Insurance,14000
1.0,STARTUP,Wikidata,http://www.aperam.com/brazil/ing/home/,2026-09-10T04:43:58.170219+00:00,Aperam South America,
1.0,STARTUP,Wikidata,https://www.jysk.com/,2026-09-10T04:43:58.171965+00:00,Jysk,30000
1.0,STARTUP,Wikidata,http://www.klauser-schuhe.de/,2026-09-10T04:43:58.173698+00:00,Klauser Schuhe,1900
1.0,STARTUP,Wikidata,https://apple.com/cf/,2026-09-10T04:43:58.270488+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/chde/,2026-09-10T04:43:58.276779+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/chfr/,2026-09-10T04:43:58.280661+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ci/,2026-09-10T04:43:58.284938+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/cl/,2026-09-10T04:43:58.288134+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/cm/,2026-09-10T04:43:58.291206+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/co/,2026-09-10T04:43:58.293883+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/cz/,2026-09-10T04:43:58.296009+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/de/,2026-09-10T04:43:58.298142+00:00,Apple Inc.,164000
